name,troopCost,manaCost,playableOn,type,cardText,flavorText,power,toughness,range,image,artist,mainType,civilizationType,rarity
Sprite-blessed Healer,,,"plains,forest,mountain",Doctor,"As long as you control a <i>World Tree</i>, Troops that would be destroyed by Chaos Tiles or Events are returned to your hand instead.",,0,1,,Gemini_Generated_Image_ek4nyzek4nyzek4n.png,AI,troop,elf,common
Airship Captain,,,"ocean,plains,mountain",Aviator,<i>Airship Captain</i> produces no Cinder. Creatures attacking from a Tile controlled by <i>Airship Captain</i> get 1 extra range.,,0,1,,Gemini_Generated_Image_w8qq6uw8qq6uw8qq.png,AI,troop,elf,common
Airship Captain,,,"ocean,plains,mountain",Aviator,<i>Airship Captain</i> produces no Cinder. Creatures attacking from a Tile controlled by <i>Airship Captain</i> get 1 extra range.,,0,1,,Gemini_Generated_Image_w8qq6uw8qq6uw8qq.png,AI,troop,elf,common
"Gel, Council of Thirteen",,,"plains,forest",Government,"<i>Gel, Council of Thirteen</i> produces no Cinder. As long as you control at least five Troops, at the beginning of your turn you may search your deck for a <i>World Tree</i> and put it in your hand. Use this ability only once.",,0,1,,Gemini_Generated_Image_88fmme88fmme88fm.png,AI,troop,elf,common
Gelwood Guard,,2,,Elf Hunter,,"<i>Born from sap hardened in ancient battles, the Gelwood remember every strike they've endured—and promise to endure the next.</i>",1,1,1,Gemini_Generated_Image_13kbae13kbae13kb.png,AI,creature,elf,common
Gelwood Guard,,2,,Elf Hunter,,"<i>Born from sap hardened in ancient battles, the Gelwood remember every strike they've endured—and promise to endure the next.</i>",1,1,1,Gemini_Generated_Image_13kbae13kbae13kb.png,AI,creature,elf,common
Gelwood Guard,,2,,Elf Hunter,,"<i>Born from sap hardened in ancient battles, the Gelwood remember every strike they've endured—and promise to endure the next.</i>",1,1,1,Gemini_Generated_Image_13kbae13kbae13kb.png,AI,creature,elf,common
Fleetfoot Guard,,2,,Elf Hunter,,"<i>Swifter than falling leaves and silent as growing roots, they strike before their shadows can catch them.</i>",1,1,1,Gemini_Generated_Image_sb4pnxsb4pnxsb4p.png,AI,creature,elf,common
Fleetfoot Guard,,2,,Elf Hunter,,"<i>Swifter than falling leaves and silent as growing roots, they strike before their shadows can catch them.</i>",1,1,1,Gemini_Generated_Image_sb4pnxsb4pnxsb4p.png,AI,creature,elf,common
Fleetfoot Guard,,2,,Elf Hunter,,"<i>Swifter than falling leaves and silent as growing roots, they strike before their shadows can catch them.</i>",1,1,1,Gemini_Generated_Image_sb4pnxsb4pnxsb4p.png,AI,creature,elf,common
Gelwood Brigadier,,4,,Elf Brigadier,"All <i>Elf Hunter</i> type creatures you control get +0/+1. Only one <i>Elf Brigadier</i> type Creature effect can be active at once. If you control multiple, at the beginning of combat declare which is is in effect.",,2,3,1,Gemini_Generated_Image_3swh983swh983swh.png,AI,creature,elf,common
Fleetwood Brigadier,,4,,Elf Brigadier,"All <i>Elf Hunter</i> type creatures you control get have at least 2 range. Only one <i>Elf Brigadier</i> type Creature effect can be active at once. If you control multiple, at the beginning of combat declare which is is in effect.",,2,2,2,Gemini_Generated_Image_ps7khhps7khhps7k.png,AI,creature,elf,common
Pureblood Sylvan,,4,,Elf,"While you control 3 or more Forest tiles, <i>Pureblood Sylvan</i> cannot be the target of enemy Events or Creature abilities.",,2,2,1,Gemini_Generated_Image_1swmyx1swmyx1swm.png,AI,creature,elf,common
Erudite Sage,,4,,Elf,Sacrifice <i>Erudite Sage</i>: draw two cards.,,1,3,1,Gemini_Generated_Image_b7fn77b7fn77b7fn.png,AI,creature,elf,common
Mycologist of the Deep,,4,,Elf,"Pay 4 Cinder: draw a card. If it's a Creature, put it into play without paying it's cost. If it's not a Creature, discard it. Use this ability only once.",,2,2,1,Gemini_Generated_Image_3xkxs13xkxs13xkx.png,AI,creature,elf,common
Kitebound Longshotter,,5,,Elf Hunter,"While attacking, <i>Kitebound Longshotter</i> cannot be damaged by creatures with less range than it.",,2,2,2,Gemini_Generated_Image_jqesnrjqesnrjqes.png,AI,creature,elf,common
Whispersilent Agent,,5,,Elf Hunter,"<b>First Strike</b> (If this Creature is attacking or defending, and both inolved would die, <i>Whispersilent Agent</i> survives instead.)",,2,1,1,Gemini_Generated_Image_qx49vhqx49vhqx49.png,AI,creature,elf,common
Reclusive Savant,,5,,Elf Hunter,"As an instant ability, add +1/+1 to <i>Reclusive Savant</i>. Sacrifice <i>Reclusive Savant</i> at the end of your next turn.",,2,2,1,Gemini_Generated_Image_x69l53x69l53x69l.png,AI,creature,elf,common
Moonlight Artificer,,6,,Elf Mage,"<i>Moonlight Artificer</i> gets +1/+1 for each <i>Smith</i>, <i>Alchemist</i>, <i>Merchant</i>, <i>Scientist</i>, and <i>Biologist</i> you control.",,1,1,1,Gemini_Generated_Image_nlmnqznlmnqznlmn.png,AI,creature,elf,common
Spellchain Caster,,6,,Elf Mage,<i>Spellchain Caster</i> gets +1/+0 for each additional Creature you control attacking.,,0,3,1,Gemini_Generated_Image_wfu9qswfu9qswfu9.png,AI,creature,elf,common
Elemental-Planar-Binder,,7,,Elf Mage,"At the beginning of combat, you may tap <i>Elemental-Planar-Binder</i> and a target enemy creature with power less than <i>Elemental-Planar-Binder</i>.",,3,3,1,Gemini_Generated_Image_p864gmp864gmp864.png,AI,creature,elf,common
"Idarey, Spirit Caller",,7,,High Elf,"At the beginning of your turn you may sacrifice X Cinder and select an enemy. That enemy must sacrifice X-2 cinder if they can. Deal X damage to <i>Idarey, Sprit Caller</i>.",,3,4,1,Gemini_Generated_Image_sale4zsale4zsale.png,AI,creature,elf,common
"Sipha, God's Envoy",,7,,High Elf,"When <i>Sipha, God's Envoy</i> is played, select a Troop you control. It produces double Cinder. If it is destroyed, you may select another Troop.",,3,4,1,Gemini_Generated_Image_23s2j623s2j623s2.png,AI,creature,elf,common
"Adsrian, Forest Defender",,8,,High Elf,As long as you control a Tile with <i>World Tree</i>: Forest Tiles you control can't become Chaotic and Troops you control on Forest Tiles get +0/+2.,,3,4,1,Gemini_Generated_Image_slj8nwslj8nwslj8.png,AI,creature,elf,common
Endless Thicket,,,,Instant,"Until the start of your next turn, creatures you control attacking a <b>Forest tile</b> get <b>+1/+1</b>. Lose 1 health.",,,,,Gemini_Generated_Image_3urv5z3urv5z3urv.png,AI,event,elf,common
Shooting Star,,,,Instant,Destroy target permanent Event. <b>Lose 2 health</b>.,,,,,Gemini_Generated_Image_n4vz67n4vz67n4vz.png,AI,event,elf,common
Weapon Blunting Ether,,,,Instant,Reduce an attacking creatures power to 0 until end of turn. <b>Lose 1 health</b>.,,,,,Gemini_Generated_Image_gagvohgagvohgagv.png,AI,event,elf,common
Lunar Omen,,,,Instant,Target Creature is returned to it's owners hand. <b>Lose 1 health</b>.,,,,,Gemini_Generated_Image_d2qdh2d2qdh2d2qd.png,AI,event,elf,common
Fairy World Distraction,,,,Instant,Tap all creatures an enemy controls. <b>Lose 2 health</b>.,,,,,Gemini_Generated_Image_1qak5z1qak5z1qak.png,AI,event,elf,common
Fairy World Rally,,,,Instant,Untap all creatures you control. <b>Lose 2 health</b>.,,,,,Gemini_Generated_Image_z1kgogz1kgogz1kg.png,AI,event,elf,common
World Tree,,4,,Permanent,<i>World Tree</i> must be played on a <b>Forest tile</b> you control. Forest tiles you control cannot turn chaotic.,,,,,Gemini_Generated_Image_5jzjh25jzjh25jzj.png,AI,event,elf,common
"Billow, Unicorn Mount",,4,,Permanent,"Attach <i>Billow, Unicorn Mount</i> to a Creature. Increase it's range to a maximum of 2.",,,,,Gemini_Generated_Image_dyvl82dyvl82dyvl.png,AI,event,elf,common
Hydroponic Raft,,4,,Permanent,Attach <i>Hydroponic Raft</i> to a <i>Farmer</i>. It can move and be placed on Ocean Tiles.,,,,,Gemini_Generated_Image_b91qnqb91qnqb91q.png,AI,event,elf,common
Bountiful Harvest,,5,,Permanent,Attach <i>Bountiful Harvest</i> to a Tile you control. All Troops of <i>Farmer</i> type on or adjacent to the tile produce an extra Cinder.,,,,,Gemini_Generated_Image_bt3lk0bt3lk0bt3l.png,AI,event,elf,common
Grove of the Council,,5,,Permanent,"At the beginning of your turn, you can pay 2 Cinder to move a <i>World Tree</i> you control to a different Forest Tile you control.",,,,,Gemini_Generated_Image_88fmme88fmme88fm.png,AI,event,elf,common
Embezzlement Contract,,6,,Permanent,"Attach <i>Embezzlement Contract</i> to a Tile you don't control. All Troops occupying the Tile split their produced Cinder with you, giving you the smaller amount in uneven splits. You may not attack this tile.",,,,,Gemini_Generated_Image_v9a377v9a377v9a3.png,AI,event,elf,common
Sylvanari's Legacy,,7,,Permanent,Plains tiles also become Forest tiles. Enemy creatures and Troops defending a Forest tile get -0/-1.,,,,,Gemini_Generated_Image_h83pnah83pnah83p.png,AI,event,elf,common
Sylvanari's Wand,,7,,Permanent,"Attach to a Creature you control. Attached creature gets +2/+0. If the Creature is not a <i>Elf Mage</i> or <i>High Elf</i>, sacrifice them at the end of your turn and return <i>Sylvanari's Wand</i> to your hand.",,,,,Gemini_Generated_Image_soact2soact2soac.png,AI,event,elf,common
Flash Flood,,3,,Event,"Attach <i>Flash Flood</i> to <b>any Land tile</b>. If a Troop occupies the Land Tile, the owner of the Troop must move the troop on their next turn. If they can't move the Troop, they can withdraw the Troop to their hand and lose 1 health.",,,,,Gemini_Generated_Image_6wp8j36wp8j36wp8.png,AI,event,elf,common
Ibis Spirits Offering,,4,,Event,Regain 1 health point.,"<i>She blessed our souls, annointing our wounds.</i>",,,,Gemini_Generated_Image_q80x2fq80x2fq80x.png,AI,event,elf,common
Ibis Spirit Festival,,5,,Event,"At the beginning of your next turn, double the Cinders you would otherwise generate, then destroy this card.",,,,,Gemini_Generated_Image_jseg5qjseg5qjseg.png,AI,event,elf,common
Legacy Recruit,,5,,Event,Return a creature from your graveyard to your hand. It costs an additional cinder to play.,,,,,Gemini_Generated_Image_wtl1rqwtl1rqwtl1.png,AI,event,elf,common
Overflowing Coffers,,6,,Event,Pay <b>X</b> number of additional Cinder. Add a +1/+1 counter to <b>X</b> creatures you control.,,,,,Gemini_Generated_Image_9cvy7w9cvy7w9cvy.png,AI,event,elf,common
Sacrilegious Act,,8,,Event,"If you control a <i>World Tree</i>, sacrifice it and gain 4 life. All creatures you control get -1/-1.",,,,,Gemini_Generated_Image_fvb0t6fvb0t6fvb0.png,AI,event,elf,common
